amenities,description,name,score
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Playa,Muebles de exterior,Sombrillas,Recepción disponible las 24 horas,Wifi,Bañera de hidromasaje,Piscina con vista,Restaurante,Desayuno bufet,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Minibar,Heladera,Bañera/Ducha,Habitaciones para no fumadores,Suites",,Anau Pousada,83.0
"Internet de alta velocidad gratuito (WiFi),Wifi,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Aire acondicionado,Caja fuerte,Teléfono,Minibar,Heladera,TV pantalla plana,Habitaciones para no fumadores",,Up Recoleta Hotel,454.0
"Garage de estacionamiento,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Terraza en la azotea,Wifi,Desayuno bufet,Salón de banquetes,Salas de reuniones,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Caja fuerte,Teléfono,Microondas,Minibar,Heladera,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Up Tribeca,571.0
"Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Garage de estacionamiento,Wifi,Toallas para la piscina/playa,Piscina cubierta,Piscina climatizada,Sauna,Bar/Salón,Restaurante,Desayuno bufet,Comidas para niños,Menús para dietas especiales,Salón de banquetes,Salas de reuniones,Masaje,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitación libre de alérgenos,Habitaciones insonorizadas,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Heladera,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Loi Suites Recoleta Hotel,1.139
"Internet de alta velocidad gratuito (WiFi),Wifi,Bar/Salón,Desayuno disponible,Almacenamiento de equipaje,Cambio de divisas,Hotel para no fumadores,Recepción disponible las 24 horas,Desayuno bufet,Sala de estar o con TV compartida,Aire acondicionado,Habitaciones para no fumadores,Suites,Habitaciones para familias","Ubicado estratégicamente en el corazón de San Telmo - Buenos Aires, en Circus hostel&hotel combinamos bajos precios para crear un hostel con la infraestructura de un hotel boutique Nuestras habitaciones fueron creadas para descansar en paz, desde todas las habitaciones tiene una vista fantástica al barrio de San TelmoNuestro desayuno incluye, medialunas, tostadas con diferentes dulces, jugo de naranja exprimido, café con leche y té",Circus Hostel & Hotel,1.979
"Estacionamiento público pagado cercano,Internet de alta velocidad gratuito (WiFi),Wifi,Desayuno gratis,Almacenamiento de equipaje,Conserje,Recepción disponible las 24 horas,Servicio de lavandería,Wifi con cargo adicional,Desayuno bufet,Aire acondicionado,Caja fuerte,TV pantalla plana,Secador de pelo,Habitaciones para no fumadores,Suites",,Gran Hotel Argentino,1.153
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Club nocturno/DJ,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Wifi,Bañera de hidromasaje,Piscina al aire libre,Vestuarios de gimnasio/spa,Sauna,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bebida de bienvenida de cortesía,Bar de aperitivos,Servicio de taxi,Salón de banquetes,Salas de reuniones,Spa,Masaje,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Periódico,Portero,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Batas de baño,Aire acondicionado,Escritorio,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Bañera/Ducha,Teléfono,Servicio de despertador/Reloj despertador,Películas a pedido,Habitaciones para no fumadores,Suites,Habitaciones para familias","Ubicado en el corazón del Barrio de La Recoleta lo invitamos a disfrutar de nuestro lujoso hotel boutique, acompañado por las mejores propuestas gastronómicas y la experiencia de sentir el lugar donde vivió Evita Perón.",Melia Recoleta Plaza,1.117
"Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Bar/Salón,Almacenamiento de equipaje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Garage de estacionamiento,Wifi,Restaurante,Desayuno bufet,Bar de aperitivos,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Caja fuerte,Teléfono,TV pantalla plana,Secador de pelo,Habitaciones para no fumadores,Suites",,Hotel Ibis Buenos Aires Obelisco,3.93
"Estacionamiento con servicio de valet,Internet gratuito,Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Estacionamiento privado pagado en el predio,Wifi,Wifi con cargo adicional,Toallas para la piscina/playa,Piscina en la terraza,Piscina al aire libre,Piscina climatizada,Vestuarios de gimnasio/spa,Sauna,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bufé apto para niños,Bar de aperitivos,Bar en la terraza,Alquiler de autos,Servicio de taxi,Salón de banquetes,Salas de reuniones,Spa,Tratamientos faciales,Masaje de cuerpo completo,Masaje,Salón de belleza,Solárium,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Tienda de regalos,Hotel para no fumadores,Tiendas,Terraza solárium,Cajero automático en el lugar,Portero,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Check-in y check-out privado,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Habitaciones interconectadas disponibles,Servicio a la habitación,Caja fuerte,Minibar,Heladera,TV pantalla plana,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Hilton Buenos Aires,4.664
"Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Garage de estacionamiento,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina en la terraza,Piscina para adultos,Piscina cubierta,Piscina climatizada,Vestuarios de gimnasio/spa,Sauna,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Comidas para niños,Bar de aperitivos,Salón de banquetes,Salas de reuniones,Spa,Masaje,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Minibar,Heladera,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","Una nueva generación, la misma esenciaEl Alvear Art Hotel nace como una innovadora propuesta en Buenos Aires, avalado por la trayectoria del Alvear Palace Hotel. Enmarcado por imponentes árboles, este nuevo representante de la Experiencia Alvear abre las puertas de su moderno edificio en el centro financiero, comercial y cultural de la ciudad, para brindar la excelencia de su servicio, cálida hospitalidad, el sofisticado confort de sus habitaciones y la más alta tecnología.",Alvear Art Hotel,1.154
